region_group,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Westlands,Mountain View,Mansionette,68000,0,0,0,0,Search in Houses & Apartments For Rent Sell faster Buy smarter Sign in Registration Sell Jiji Property in Mountain View 6 results for  Houses & Apartm
Westlands,Mountain View,Mansionette,68000,0,0,0,0,Jiji Property in Mountain View 6 results for  Houses & Apartments For Rent   in Mountain View Categories Property New Builds  | 0 Houses & Apartments 
Westlands,Mountain View,Mansionette,68000,0,0,0,0,Categories Property New Builds  | 0 Houses & Apartments For Rent  | 6 Houses & Apartments For Sale  | 2 Short Let  | 0 Show all 9 Location Mountain Vi
Westlands,Mountain View,Bedsitter,68000,0,0,0,0,Houses & Apartments For Rent in Mountain View Apartment Bedsitter Studio Apartment Bungalow Chalet Condo Duplex Mountain View  Sort by:   Recommended 
Westlands,Mountain View,Bedsitter,68000,0,0,0,0,"Verified ID  KSh 68,000 per month 3bdrm Apartment in Mountain View for rent 3-Bedroom Apartment to Let – Mountain View, Waiyaki Way
Rent: Ksh 70,000 p"
Westlands,Mountain View,Apartment,68000,0,0,0,0,"KSh 68,000 per month 3bdrm Apartment in Mountain View for rent 3-Bedroom Apartment to Let – Mountain View, Waiyaki Way
Rent: Ksh 70,000 per month
A we"
Westlands,Mountain View,Apartment,68000,0,0,0,0,"KSh 68,000 per month 3bdrm Apartment in Mountain View for rent"
Westlands,Mountain View,Apartment,70000,0,0,0,0,"3-Bedroom Apartment to Let – Mountain View, Waiyaki Way
Rent: Ksh 70,000 per month
A well-maintained... Mountain View"
Westlands,Mountain View,Apartment,70000,0,0,0,0,"3-Bedroom Apartment to Let – Mountain View, Waiyaki Way
Rent: Ksh 70,000 per month
A well-maintained..."
Westlands,Mountain View,Apartment,36000,0,0,0,0,"5+ years on Jiji  KSh 36,000 per month 2bdrm Apartment in Mountainview for rent 2 bedroom master ensuite apartment for rent. Conveniently located off "
Westlands,Mountain View,Apartment,36000,0,0,0,0,"KSh 36,000 per month 2bdrm Apartment in Mountainview for rent 2 bedroom master ensuite apartment for rent. Conveniently located off Waiyaki Way near M"
Westlands,Mountain View,Apartment,36000,0,0,0,0,"KSh 36,000 per month 2bdrm Apartment in Mountainview for rent"
Westlands,Mountain View,Bedsitter,80000,0,0,0,0,"5+ years on Jiji  KSh 80,000 per month 3bdrm Apartment in Skyman Properties, Mountain View for rent Brand New 
All En_Suite 
Dsq
It's easily accessibl"
Westlands,Mountain View,Apartment,80000,0,0,0,0,"KSh 80,000 per month 3bdrm Apartment in Skyman Properties, Mountain View for rent Brand New 
All En_Suite 
Dsq
It's easily accessible 
Near Westlands "
Westlands,Mountain View,Apartment,80000,0,0,0,0,"KSh 80,000 per month 3bdrm Apartment in Skyman Properties, Mountain View for rent"
Westlands,Mountain View,Bedsitter,20000,0,0,0,0,"5+ years on Jiji  KSh 20,000 per month 1bdrm Bedsitter in Mountain View Estate for rent Spacious bedsitter is now available for rent. 
FEATURES:
Free "
Westlands,Mountain View,Bedsitter,20000,0,0,0,0,"KSh 20,000 per month 1bdrm Bedsitter in Mountain View Estate for rent Spacious bedsitter is now available for rent. 
FEATURES:
Free WIFI,
Free water, "
Westlands,Mountain View,Bedsitter,20000,0,0,0,0,"KSh 20,000 per month 1bdrm Bedsitter in Mountain View Estate for rent"
Westlands,Mountain View,Bedsitter,10000,0,0,0,0,"5+ years on Jiji  KSh 10,000 per month Studio Apartment in Mountainview for rent Nice and modern fully self contained bedsitters in mountainview near "
Westlands,Mountain View,Bedsitter,10000,0,0,0,0,"KSh 10,000 per month Studio Apartment in Mountainview for rent Nice and modern fully self contained bedsitters in mountainview near kabete technical, "
Westlands,Mountain View,Apartment,10000,0,0,0,0,"KSh 10,000 per month Studio Apartment in Mountainview for rent"
Westlands,Mountain View,Bedsitter,10000,0,0,0,0,"5+ years on Jiji  KSh 10,000 per month 1bdrm Bedsitter in Waiyaki Way Mountain for rent Letting bedsitters waiyaki way next to Mountain View estate,
1"
Westlands,Mountain View,Bedsitter,10000,0,0,0,0,"KSh 10,000 per month 1bdrm Bedsitter in Waiyaki Way Mountain for rent Letting bedsitters waiyaki way next to Mountain View estate,
10 min to CBD,
>mod"
Westlands,Mountain View,Bedsitter,10000,0,0,0,0,"KSh 10,000 per month 1bdrm Bedsitter in Waiyaki Way Mountain for rent"
Westlands,Kangemi,Apartment,42000000,0,0,0,0,Search in Property Sell faster Buy smarter Sign in Registration Sell Jiji 5 results for  Property   in Kangemi Categories Property New Builds  | 0 Hou
Westlands,Kangemi,Apartment,42000000,0,0,0,0,Jiji 5 results for  Property   in Kangemi Categories Property New Builds  | 0 Houses & Apartments For Rent  | 0 Houses & Apartments For Sale  | 0 Shor
Westlands,Kangemi,Apartment,42000000,0,0,0,0,Categories Property New Builds  | 0 Houses & Apartments For Rent  | 0 Houses & Apartments For Sale  | 0 Short Let  | 0 Show all 9 Location Kangemi Pri
Westlands,Lower Kabete,Mansionette,170000,0,0,0,0,Search in Houses & Apartments For Rent Sell faster Buy smarter Sign in Registration Sell Jiji Property in Lower Kabete 17 results for  Houses & Apartm
Westlands,Lower Kabete,Mansionette,170000,0,0,0,0,Jiji Property in Lower Kabete 17 results for  Houses & Apartments For Rent   in Lower Kabete Categories Property New Builds  | 2 Houses & Apartments F
Westlands,Lower Kabete,Mansionette,170000,0,0,0,0,Categories Property New Builds  | 2 Houses & Apartments For Rent  | 17 Houses & Apartments For Sale  | 18 Short Let  | 3 Show all 9 Location Lower Kab
Westlands,Lower Kabete,Bedsitter,170000,0,0,0,0,Houses & Apartments For Rent in Lower Kabete Apartment Bungalow House Villa Maisonette Studio Apartment Bedsitter Lower Kabete  Sort by:   Recommended
Westlands,Lower Kabete,Apartment,170000,0,0,0,0,"Verified ID   5+ years on Jiji  VIP GOLD KSh 170,000 per month 5bdrm House in Brookside, Lower Kabete for rent House for Rent in Westlands
This beauti"
Westlands,Lower Kabete,Apartment,170000,0,0,0,0,"KSh 170,000 per month 5bdrm House in Brookside, Lower Kabete for rent House for Rent in Westlands
This beautiful home is located il in the prime neigh"
Westlands,Lower Kabete,Apartment,170000,0,0,0,0,"KSh 170,000 per month 5bdrm House in Brookside, Lower Kabete for rent"
Westlands,Lower Kabete,Apartment,32000,0,0,0,0,"5+ years on Jiji  KSh 32,000 per month 2bdrm Apartment in Lower Kabete for rent Lower Kabete 2BR Quiet. New. All Tiles. Spacious. Excellent Finishes
✓"
Westlands,Lower Kabete,Apartment,32000,0,0,0,0,"KSh 32,000 per month 2bdrm Apartment in Lower Kabete for rent Lower Kabete 2BR Quiet. New. All Tiles. Spacious. Excellent Finishes
✓ To let - Lower Ka"
Westlands,Lower Kabete,Apartment,32000,0,0,0,0,"KSh 32,000 per month 2bdrm Apartment in Lower Kabete for rent"
Westlands,Lower Kabete,Apartment,66000,0,0,0,0,"5+ years on Jiji  KSh 66,000 per month 2bdrm Apartment in Lower Kabete for rent Brand new two bedroom apartment for sale/rental in lower kabete. 
two "
Westlands,Lower Kabete,Apartment,66000,0,0,0,0,"KSh 66,000 per month 2bdrm Apartment in Lower Kabete for rent Brand new two bedroom apartment for sale/rental in lower kabete. 
two private balconies "
Westlands,Lower Kabete,Apartment,66000,0,0,0,0,"KSh 66,000 per month 2bdrm Apartment in Lower Kabete for rent"
Westlands,Lower Kabete,Apartment,550000,0,0,0,0,"KSh 550,000 per month Furnished 2bdrm Apartment in Westlands, Lower Kabete for rent Experience upscale living at GTC Westlands in this beautifully fur"
Westlands,Lower Kabete,Apartment,550000,0,0,0,0,"KSh 550,000 per month Furnished 2bdrm Apartment in Westlands, Lower Kabete for rent"
Westlands,Lower Kabete,Apartment,100000,0,0,0,0,"Verified ID   5+ years on Jiji  VIP GOLD KSh 100,000 per month Furnished 4bdrm House in Kitsuru, Lower Kabete for rent New Kitisuru – Elegant 4 Bedroo"
Westlands,Lower Kabete,Apartment,100000,0,0,0,0,"KSh 100,000 per month Furnished 4bdrm House in Kitsuru, Lower Kabete for rent New Kitisuru – Elegant 4 Bedroom Home (Homestay Concept) To Let
 100,000"
Westlands,Lower Kabete,Apartment,100000,0,0,0,0,"KSh 100,000 per month Furnished 4bdrm House in Kitsuru, Lower Kabete for rent"
Westlands,Lower Kabete,Apartment,15000,0,0,0,0,"5+ years on Jiji  KSh 15,000 per month Studio Apartment in Lower Kabete for rent Executive studios located in a serene and secure location. 
Located i"
Westlands,Lower Kabete,Apartment,15000,0,0,0,0,"KSh 15,000 per month Studio Apartment in Lower Kabete for rent Executive studios located in a serene and secure location. 
Located in an own compound "
Westlands,Lower Kabete,Apartment,15000,0,0,0,0,"KSh 15,000 per month Studio Apartment in Lower Kabete for rent"
