region_cluster,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Kilimani-Kileleshwa,"Westlands
                                     
 
 
   
   
 
 
   
                    Westlands Area",Townhouse,120000,0,1,1,1,"For Sale
                 
 
 
 
 
                    For Rent
                 
 
 
 
 
                    Project
                 
 
 
 
 
 
 
  "
Kilimani-Kileleshwa,"Westlands
                                     
 
 
   
   
 
 
   
                    Westlands Area",Apartment,120000,0,0,0,0,"Rent
                         
   
 
   
 
       
                            Apartments
                         
   
   
 
   
 
 
 
              "
Kilimani-Kileleshwa,"Westlands
                                     
 
 
   
   
 
 
   
                    Westlands Area",Apartment,120000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   14 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,120000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite in Lavington
                                         
 
 
 
 
 
                                              "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,180000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   15 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
Kilimani-Kileleshwa,"Westlands
                                     
 
 
   
   
 
 
   
                    Westlands Area",Apartment,170000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   11 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
Kilimani-Kileleshwa,"Westlands
                                     
 
 
   
   
 
 
   
                    Westlands Area",Apartment,170000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite in Westlands Area
                                         
 
 
 
 
 
                                         "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
             
 
 
   38 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"2 Bed Apartment with Swimming Pool in Lavington
                                         
 
 
 
 
 
                                                2 "
Kilimani-Kileleshwa,Lavington,Apartment,75,0,0,0,0,"2 Bedrooms
         
 
 
 
            2 Bathrooms
         
 
   
 
     
                                        2 Bedroom Apartments to Let in Lavi"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   17 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"3 Bed Apartment with Swimming Pool in Lavington
                                         
 
 
 
 
 
                                                3 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,130000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   18 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,130000,0,0,0,0,"3 Bed Apartment with En Suite in Lavington
                                         
 
 
 
 
 
                                                3 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,70000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   19 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,70000,0,0,0,0,"2 Bed Apartment with Swimming Pool in Kileleshwa
                                         
 
 
 
 
 
                                                2"
