source_site,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Jiji Kenya,Grand Midtown,Mansionette,17,0,1,0,1,Search in Houses & Apartments For Rent Sell faster Buy smarter Sign in Registration Sell Jiji Property 4860 results for  Houses & Apartments For Rent 
Jiji Kenya,Registration Sell,Apartment,0,0,0,0,0,Search in Houses & Apartments For Rent Sell faster Buy smarter Sign in Registration Sell
Jiji Kenya,Grand Midtown,Mansionette,17,0,1,0,1,Jiji Property 4860 results for  Houses & Apartments For Rent   in Kenya Categories Property New Builds  | 150 Houses & Apartments For Rent  | 6313 Hou
Jiji Kenya,Grand Midtown,Mansionette,17,0,1,0,1,Categories Property New Builds  | 150 Houses & Apartments For Rent  | 6313 Houses & Apartments For Sale  | 5895 Short Let  | 2900 Show all 9 Location 
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,Categories Property New Builds  | 150 Houses & Apartments For Rent  | 6313 Houses & Apartments For Sale  | 5895 Short Let  | 2900 Show all 9
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,Property New Builds  | 150 Houses & Apartments For Rent  | 6313 Houses & Apartments For Sale  | 5895 Short Let  | 2900 Show all 9
Jiji Kenya,Nairobi Region,Mansionette,0,0,0,0,0,"Price, KSh Min Max Under 12 K   • 378 ads 12 - 38 K   • 1 514 ads 38 - 90 K   • 2 524 ads 90 - 300 K   • 1 578 ads More than 300 K   • 315 ads Clear S"
Jiji Kenya,Nairobi Region,Mansionette,0,0,0,0,0,Property Type Apartment   • 3 717 ads Bedsitter   • 226 ads Bungalow   • 434 ads House   • 376 ads Maisonette   • 582 ads Block of Flats   • 125 ads C
Jiji Kenya,Nairobi Region,Mansionette,0,0,0,0,0,Apartment   • 3 717 ads Bedsitter   • 226 ads Bungalow   • 434 ads House   • 376 ads Maisonette   • 582 ads Block of Flats   • 125 ads Chalet   • 4 ad
Jiji Kenya,Grand Midtown,Mansionette,17,0,1,0,1,Houses & Apartments For Rent in Kenya < KSh 17 K KSh 17 - 34 K KSh 34 - 60 K > KSh 60 K Apartment Maisonette Bungalow House Bedsitter Studio Apartment
Jiji Kenya,Nairobi Region,Mansionette,17,0,0,0,0,< KSh 17 K KSh 17 - 34 K KSh 34 - 60 K > KSh 60 K Apartment Maisonette Bungalow House Bedsitter Studio Apartment Mansion
Jiji Kenya,Nairobi Region,Mansionette,0,0,0,0,0,Apartment Maisonette Bungalow House Bedsitter Studio Apartment Mansion
Jiji Kenya,Grand Midtown,Mansionette,155000,0,1,0,1,"Verified ID   5+ years on Jiji  VIP GOLD KSh 155,000 per month 3bdrm Apartment in Spring Valley for rent 3 Bedroom Apartment for Rent in – Westlands
T"
Jiji Kenya,Nairobi Region,Apartment,155000,0,0,0,0,"KSh 155,000 per month 3bdrm Apartment in Spring Valley for rent 3 Bedroom Apartment for Rent in – Westlands
This spacious 3-bedroom apartment is locat"
Jiji Kenya,Spring Valley for rent,Apartment,155000,0,0,0,0,"KSh 155,000 per month 3bdrm Apartment in Spring Valley for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"3 Bedroom Apartment for Rent in – Westlands
This spacious 3-bedroom apartment is located in the... Nairobi, Westlands"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"3 Bedroom Apartment for Rent in – Westlands
This spacious 3-bedroom apartment is located in the..."
Jiji Kenya,Grand Midtown,Studio Apartment,35000,0,0,0,0,"KSh 35,000 per month Furnished Studio Apartment in Grand Midtown, Nairobi Central for rent Modern and bright fully furnished studio apartment availabl"
Jiji Kenya,Grand Midtown,Studio Apartment,35000,0,0,0,0,"KSh 35,000 per month Furnished Studio Apartment in Grand Midtown, Nairobi Central for rent"
Jiji Kenya,Grand Midtown,Studio Apartment,0,0,0,0,0,"Furnished Studio Apartment in Grand Midtown, Nairobi Central for rent"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,"Modern and bright fully furnished studio apartment available for rent in Nairobi.5 minutes to... Nairobi, Nairobi Central"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,Modern and bright fully furnished studio apartment available for rent in Nairobi.5 minutes to...
Jiji Kenya,Mvita for rent Spacious bedsitter with inbuilt wardrobe,Bedsitter,12000,0,1,0,0,"5+ years on Jiji  KSh 12,000 in Mvita for rent Spacious bedsitter with inbuilt wardrobe, kitchenette and bathroom with sliding door glass. Borehole..."
Jiji Kenya,Mvita for rent Spacious bedsitter with inbuilt wardrobe,Bedsitter,12000,0,1,0,0,"KSh 12,000 in Mvita for rent Spacious bedsitter with inbuilt wardrobe, kitchenette and bathroom with sliding door glass. Borehole... Mombasa, Mvita"
Jiji Kenya,Nairobi Region,Bedsitter,0,0,1,0,0,"Spacious bedsitter with inbuilt wardrobe, kitchenette and bathroom with sliding door glass. Borehole... Mombasa, Mvita"
Jiji Kenya,Nairobi Region,Bedsitter,0,0,1,0,0,"Spacious bedsitter with inbuilt wardrobe, kitchenette and bathroom with sliding door glass. Borehole..."
Jiji Kenya,Jacaranda Gardens,Apartment,50000,0,0,0,0,"Verified ID   5+ years on Jiji  DIAMOND KSh 50,000 per month 2bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent To Let: 2-Bedroom Apartment "
Jiji Kenya,Jacaranda Gardens,Apartment,50000,0,0,0,0,"KSh 50,000 per month 2bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent To Let: 2-Bedroom Apartment – Jacaranda Gardens, Kamiti Road @ Kshs."
Jiji Kenya,Jacaranda Gardens,Apartment,50000,0,0,0,0,"KSh 50,000 per month 2bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"To Let: 2-Bedroom Apartment – Jacaranda Gardens, Kamiti Road @ Kshs. 45,000/Month.
Welcome to... Nairobi, Kahawa"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"To Let: 2-Bedroom Apartment – Jacaranda Gardens, Kamiti Road @ Kshs. 45,000/Month.
Welcome to..."
Jiji Kenya,Nairobi Region,Apartment,200000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 200,000 per month 4bdrm Apartment in 4 Bedroom All, Kileleshwa for rent This spacious 4 bedroom apartment with a l"
Jiji Kenya,Nairobi Region,Apartment,200000,0,0,0,0,"KSh 200,000 per month 4bdrm Apartment in 4 Bedroom All, Kileleshwa for rent This spacious 4 bedroom apartment with a ln sq is available for rental in "
Jiji Kenya,Nairobi Region,Apartment,200000,0,0,0,0,"KSh 200,000 per month 4bdrm Apartment in 4 Bedroom All, Kileleshwa for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This spacious 4 bedroom apartment with a ln sq is available for rental in Kileleshwa. 
Very... Nairobi, Kileleshwa"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This spacious 4 bedroom apartment with a ln sq is available for rental in Kileleshwa. 
Very..."
Jiji Kenya,Nairobi Region,Apartment,180000,0,0,0,0,"5+ years on Jiji  KSh 180,000 per month 3bdrm Apartment in Kileleshwa for rent 3-Bedroom Apartment for Rent – Kileleshwa
 KES 180,000 per month
 Kilel"
Jiji Kenya,Nairobi Region,Apartment,180000,0,0,0,0,"KSh 180,000 per month 3bdrm Apartment in Kileleshwa for rent 3-Bedroom Apartment for Rent – Kileleshwa
 KES 180,000 per month
 Kileleshwa
Spacious 3-b"
Jiji Kenya,Nairobi Region,Apartment,180000,0,0,0,0,"3-Bedroom Apartment for Rent – Kileleshwa
 KES 180,000 per month
 Kileleshwa
Spacious 3-bedroom... Nairobi, Kileleshwa"
Jiji Kenya,Nairobi Region,Apartment,180000,0,0,0,0,"3-Bedroom Apartment for Rent – Kileleshwa
 KES 180,000 per month
 Kileleshwa
Spacious 3-bedroom..."
Jiji Kenya,Carrefour,Apartment,65000,0,0,0,0,"KSh 65,000 per month 2bdrm Apartment in Carrefour, Diani for rent Apartment with pool.
2 bedroom all ensuite. 
Behind Carrefour. Kwale, Diani"
Jiji Kenya,Carrefour,Apartment,65000,0,0,0,0,"KSh 65,000 per month 2bdrm Apartment in Carrefour, Diani for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Apartment with pool.
2 bedroom all ensuite. 
Behind Carrefour. Kwale, Diani"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Apartment with pool.
2 bedroom all ensuite. 
Behind Carrefour."
Jiji Kenya,Diani for rent This newly built,Apartment,65000,0,0,0,0,"KSh 65,000 per month 2bdrm Apartment in Diani for rent This newly built, unfurnished 2-bedroom apartment is perfectly located just 500 meters from... "
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This newly built, unfurnished 2-bedroom apartment is perfectly located just 500 meters from... Kwale, Diani"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This newly built, unfurnished 2-bedroom apartment is perfectly located just 500 meters from..."
Jiji Kenya,Apple Tree,Apartment,60000,0,1,0,1,"Verified ID   5+ years on Jiji  VIP GOLD KSh 60,000 per month 1bdrm Apartment in Parklands for rent 1 Bedroom Apartment for Rent Apartments – Parkland"
Jiji Kenya,Nairobi Region,Apartment,60000,0,0,0,0,"KSh 60,000 per month 1bdrm Apartment in Parklands for rent 1 Bedroom Apartment for Rent Apartments – Parklands
This modern 1-bedroom apartment is loca"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"1 Bedroom Apartment for Rent Apartments – Parklands
This modern 1-bedroom apartment is located in... Nairobi, Parklands/Highridge"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"1 Bedroom Apartment for Rent Apartments – Parklands
This modern 1-bedroom apartment is located in..."
Jiji Kenya,Apple Tree,Apartment,90000,0,0,0,0,"Verified ID   5+ years on Jiji  DIAMOND KSh 90,000 per month 3bdrm Apartment in Apple Tree, Hotel 67 Area for rent This newly built estate has 150 pha"
Jiji Kenya,Apple Tree,Apartment,90000,0,0,0,0,"KSh 90,000 per month 3bdrm Apartment in Apple Tree, Hotel 67 Area for rent This newly built estate has 150 phase 1 ready for occupation and phase 200 "
Jiji Kenya,Apple Tree,Apartment,90000,0,0,0,0,"KSh 90,000 per month 3bdrm Apartment in Apple Tree, Hotel 67 Area for rent"
Jiji Kenya,Nairobi Region,Apartment,17000,0,1,0,1,"5+ years on Jiji  KSh 17,000 per month 1bdrm Apartment in Majengo for rent 1 bedroom apartment with borehole water and 24 hour security near central b"
Jiji Kenya,Nairobi Region,Apartment,17000,0,1,0,1,"KSh 17,000 per month 1bdrm Apartment in Majengo for rent 1 bedroom apartment with borehole water and 24 hour security near central business district w"
Jiji Kenya,Nairobi Region,Apartment,0,0,1,0,1,"1 bedroom apartment with borehole water and 24 hour security near central business district with... Mombasa, Mvita"
Jiji Kenya,Nairobi Region,Apartment,0,0,1,0,1,1 bedroom apartment with borehole water and 24 hour security near central business district with...
Jiji Kenya,a secure,Apartment,225000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 225,000 per month 4bdrm Apartment in Parklands for rent *TO LET*
 Luxury 4BR Apartment, Parklands*
IT offers premi"
Jiji Kenya,a secure,Apartment,225000,0,0,0,0,"KSh 225,000 per month 4bdrm Apartment in Parklands for rent *TO LET*
 Luxury 4BR Apartment, Parklands*
IT offers premium living in a secure, well-main"
Jiji Kenya,a secure,Apartment,0,0,0,0,0,"*TO LET*
 Luxury 4BR Apartment, Parklands*
IT offers premium living in a secure, well-maintained... Nairobi, Parklands/Highridge"
Jiji Kenya,a secure,Apartment,0,0,0,0,0,"*TO LET*
 Luxury 4BR Apartment, Parklands*
IT offers premium living in a secure, well-maintained..."
Jiji Kenya,Gl,Apartment,110000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 110,000 per month 1bdrm Apartment in Gl, Riverside Drive for rent This is a spacious 1 bedroom apartment 77 sqm. I"
Jiji Kenya,Gl,Apartment,110000,0,0,0,0,"KSh 110,000 per month 1bdrm Apartment in Gl, Riverside Drive for rent This is a spacious 1 bedroom apartment 77 sqm. Ideal for young professional look"
Jiji Kenya,Gl,Apartment,110000,0,0,0,0,"KSh 110,000 per month 1bdrm Apartment in Gl, Riverside Drive for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This is a spacious 1 bedroom apartment 77 sqm. Ideal for young professional looking to live... Nairobi, Lavington"
